ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2023-09-29T08:00:00.061911514Z,2023-09-29T08:00:00.061743020Z,10,2,9502,A,B,4,428.650000000,1300,130,168494,299100,430.210000000,430.310000000,500,600,1,2,428.860000000,432.070000000,1300,300,1,1,428.780000000,,1300,0,1,0,428.690000000,,1300,0,1,0,428.650000000,,1300,0,1,0,428.610000000,,1300,0,1,0,422.070000000,,300,0,1,0,416.910000000,,5,0,1,0,,,0,0,0,0,,,0,0,0,0,SPY
2023-09-29T08:00:00.061918123Z,2023-09-29T08:00:00.061750835Z,10,2,9502,A,B,1,428.940000000,1300,130,167288,299101,430.210000000,430.310000000,500,600,1,2,428.940000000,432.070000000,1300,300,1,1,428.860000000,,1300,0,1,0,428.780000000,,1300,0,1,0,428.690000000,,1300,0,1,0,428.650000000,,1300,0,1,0,428.610000000,,1300,0,1,0,422.070000000,,300,0,1,0,416.910000000,,5,0,1,0,,,0,0,0,0,SPY
2023-09-29T08:00:00.061923138Z,2023-09-29T08:00:00.061755811Z,10,2,9502,A,B,4,428.740000000,1300,130,167327,299102,430.210000000,430.310000000,500,600,1,2,428.940000000,432.070000000,1300,300,1,1,428.860000000,,1300,0,1,0,428.780000000,,1300,0,1,0,428.740000000,,1300,0,1,0,428.690000000,,1300,0,1,0,428.650000000,,1300,0,1,0,428.610000000,,1300,0,1,0,422.070000000,,300,0,1,0,416.910000000,,5,0,1,0,SPY
2023-09-29T08:00:00.061934395Z,2023-09-29T08:00:00.061765550Z,10,2,9502,A,B,1,429.020000000,1300,130,168845,299103,430.210000000,430.310000000,500,600,1,2,429.020000000,432.070000000,1300,300,1,1,428.940000000,,1300,0,1,0,428.860000000,,1300,0,1,0,428.780000000,,1300,0,1,0,428.740000000,,1300,0,1,0,428.690000000,,1300,0,1,0,428.650000000,,1300,0,1,0,428.610000000,,1300,0,1,0,422.070000000,,300,0,1,0,SPY
2023-09-29T08:00:00.061938295Z,2023-09-29T08:00:00.061770310Z,10,2,9502,A,B,4,428.820000000,1300,130,167985,299105,430.210000000,430.310000000,500,600,1,2,429.020000000,432.070000000,1300,300,1,1,428.940000000,,1300,0,1,0,428.860000000,,1300,0,1,0,428.820000000,,1300,0,1,0,428.780000000,,1300,0,1,0,428.740000000,,1300,0,1,0,428.690000000,,1300,0,1,0,428.650000000,,1300,0,1,0,428.610000000,,1300,0,1,0,SPY
2023-09-29T08:00:00.061947601Z,2023-09-29T08:00:00.061780019Z,10,2,9502,A,B,1,429.100000000,1300,130,167582,299106,430.210000000,430.310000000,500,600,1,2,429.100000000,432.070000000,1300,300,1,1,429.020000000,,1300,0,1,0,428.940000000,,1300,0,1,0,428.860000000,,1300,0,1,0,428.820000000,,1300,0,1,0,428.780000000,,1300,0,1,0,428.740000000,,1300,0,1,0,428.690000000,,1300,0,1,0,428.650000000,,1300,0,1,0,SPY
2023-09-29T08:00:00.061951247Z,2023-09-29T08:00:00.061783762Z,10,2,9502,A,B,4,428.900000000,1300,130,167485,299107,430.210000000,430.310000000,500,600,1,2,429.100000000,432.070000000,1300,300,1,1,429.020000000,,1300,0,1,0,428.940000000,,1300,0,1,0,428.900000000,,1300,0,1,0,428.860000000,,1300,0,1,0,428.820000000,,1300,0,1,0,428.780000000,,1300,0,1,0,428.740000000,,1300,0,1,0,428.690000000,,1300,0,1,0,SPY
2023-09-29T08:00:00.061963956Z,2023-09-29T08:00:00.061795909Z,10,2,9502,A,B,1,429.180000000,1300,130,168047,299108,430.210000000,430.310000000,500,600,1,2,429.180000000,432.070000000,1300,300,1,1,429.100000000,,1300,0,1,0,429.020000000,,1300,0,1,0,428.940000000,,1300,0,1,0,428.900000000,,1300,0,1,0,428.860000000,,1300,0,1,0,428.820000000,,1300,0,1,0,428.780000000,,1300,0,1,0,428.740000000,,1300,0,1,0,SPY
2023-09-29T08:00:00.061967168Z,2023-09-29T08:00:00.061799659Z,10,2,9502,A,B,4,428.980000000,1300,130,167509,299109,430.210000000,430.310000000,500,600,1,2,429.180000000,432.070000000,1300,300,1,1,429.100000000,,1300,0,1,0,429.020000000,,1300,0,1,0,428.980000000,,1300,0,1,0,428.940000000,,1300,0,1,0,428.900000000,,1300,0,1,0,428.860000000,,1300,0,1,0,428.820000000,,1300,0,1,0,428.780000000,,1300,0,1,0,SPY
2023-09-29T08:00:00.061977625Z,2023-09-29T08:00:00.061809749Z,10,2,9502,A,B,1,429.260000000,1300,130,167876,299110,430.210000000,430.310000000,500,600,1,2,429.260000000,432.070000000,1300,300,1,1,429.180000000,,1300,0,1,0,429.100000000,,1300,0,1,0,429.020000000,,1300,0,1,0,428.980000000,,1300,0,1,0,428.940000000,,1300,0,1,0,428.900000000,,1300,0,1,0,428.860000000,,1300,0,1,0,428.820000000,,1300,0,1,0,SPY
